时段,能量价格,调频容量价格,调频里程价格,小时里程
1,88.86,50.61,3.1,25.39202129099352
2,66.77,35.33,3.18,26.1051816706437
3,61.73,41.75,2.51,25.253401685432006
4,58.3,43.92,5.51,26.029613710157935
5,58.11,53.07,0.0,23.88062456711475
6,73.5,46.64,1.33,27.80218086169813
7,83.8,49.1,2.56,29.335596703593495
8,104.85,77.89,2.26,28.102268152922655
9,92.47,83.58,3.1,27.394832851084498
10,108.8,72.61,3.07,24.273378639528808
11,124.27,292.13,1.78,21.663976718228813
12,125.61,144.16,0.26,24.424104300017202
13,145.52,96.45,0.93,22.97870142147359
14,148.58,98.21,0.63,24.407962075369202
15,159.48,41.84,0.82,24.148212785926695
16,181.08,92.05,0.0,23.0262052922475
17,161.76,37.69,0.0,25.011400237272586
18,165.64,44.72,0.0,23.768269069220224
19,167.68,171.29,0.72,25.145867077582555
20,137.82,33.51,0.26,26.797568308346985
21,119.36,80.01,0.71,24.385685788220037
22,107.46,72.98,2.93,22.44562617209224
23,105.1,95.88,2.07,22.986396288018792
24,98.39,88.06,2.47,23.717072750105384
