slot,scheme_1_bid_p_mw,scheme_1_bid_r_mw,scheme_1_profit_usd,scheme_2_bid_p_mw,scheme_2_bid_r_mw,scheme_2_profit_usd,scheme_3_bid_p_mw,scheme_3_bid_r_mw,scheme_3_profit_usd
1,0.0,0.0,0.0,-0.09090909090909098,0.9090909090909091,63.10912590188942,-0.09090909090909098,0.9090909090909091,19.338344363803557
2,0.0,0.0,0.0,-0.2857142857142858,0.7142857142857142,31.962649686648625,-0.23076923076923078,0.7692307692307692,28.286288981521494
3,0.0,0.0,0.0,-0.23076923076923078,0.7692307692307692,24.694560005874052,-0.1666666666666668,0.8333333333333333,46.41132169243653
4,0.0,0.0,0.0,0.0,1.0,138.47733516336206,0.0,1.0,153.45017202758052
5,0.0,0.0,0.0,-0.4434208046637871,0.5565791953362129,-34.992872439228975,-0.24555906379424353,0.7544409362057565,3.4568964947349023
6,0.018749999999999996,0.0,1.3781249999999996,-0.3239583333333333,0.6760416666666668,5.596201154921765,-0.1863646923279734,0.8136353076720266,16.907183162614174
7,0.21250000000000002,0.0,17.8075,-0.060416666666666785,0.9395833333333332,82.15405231197138,-0.03569437745903298,0.964305622540967,83.75048198592931
8,0.34324999999999994,0.0,35.98976249999999,0.022469277520047515,1.5384692775200492,195.66227800297844,0.022469277520047404,1.5384692775200484,186.55114670159995
9,0.16750000000000084,0.0,15.488725000000077,0.27954248366013085,2.3495424836601306,373.9295302914399,0.279420059262063,2.349420059262063,392.2646436865154
10,0.7385833333333405,0.0,80.35786666666745,0.28204787071369614,2.863047870713694,407.32490879305203,0.2877941558923061,2.8687941558923034,294.67627719023517
11,1.279333333333337,0.0,158.9827533333338,1.0375,3.6184999999999965,1166.7398946635935,1.0375,3.618500000000002,1333.8662084530977
12,2.033833333333331,0.0,255.46980499999972,0.7504050582415135,3.3314050582415127,548.5881542600656,0.7496962943790725,3.3306962943790683,522.5207859002751
13,2.23125,0.0,324.6915000000001,1.9401216865317061,2.139871686531711,448.27840290891316,1.9094739149487636,2.1092239149487653,510.21495414076514
14,2.03125,0.0,301.803125,1.4867914762396168,2.0365414762396172,400.1506817888804,1.5184254631677185,2.0681754631677247,392.5732831437109
15,1.6437499999999998,0.0,262.14525,0.9829513814492358,0.9202013814492386,206.58810649560303,0.9296713118813861,0.8669213118813847,197.3809370563036
16,0.9937499999999999,0.0,179.94825,0.5993761923959121,2.186626192395912,248.33992664064468,0.6364055994785016,2.2236555994784997,173.6158080613329
17,0.6125,0.0,99.078,-0.19376470588235273,0.774735294117644,1.0275815805881452,-0.07104017553688968,0.8974598244631106,15.634648650785781
18,0.29375000000000007,0.0,48.65675000000001,-0.1350210400767972,0.6412289599232022,7.158517489427676,0.1313757622105649,0.9076257622105642,35.81398499621553
19,0.0625,0.0,10.48,0.03125,1.03125,173.4196453486678,0.03125,1.03125,182.2777671498897
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.399940465797247
21,0.0,0.0,0.0,-0.23076923076923078,0.7692307692307692,22.731521583665064,0.0012477605722207574,0.9987522394277792,59.94239948909689
22,0.0,0.0,0.0,-0.08046667214820191,0.9195333278517981,64.22994483362524,0.0,1.0,102.95652124133021
23,0.0,0.0,0.0,-0.09090909090909098,0.9090909090909091,69.7680531007475,0.09090909090909088,0.9090909090909092,87.63907631248404
24,0.0,0.0,0.0,-0.1666666666666668,0.8333333333333333,64.66859056340736,0.0,1.0,98.41390311200897
