时段,能量价格,调频容量价格,调频里程价格,小时里程
1,88.86,50.61,3.1,26.310338957579916
2,66.77,35.33,3.18,26.43897219892112
3,61.73,41.75,2.51,25.067447639357653
4,58.3,43.92,5.51,26.336086050718304
5,58.11,53.07,0.0,23.67051174171843
6,73.5,46.64,1.33,27.900363120100096
7,83.8,49.1,2.56,29.268937403995846
8,104.85,77.89,2.26,27.899829353564442
9,92.47,83.58,3.1,26.91046571891954
10,108.8,72.61,3.07,23.7854458972906
11,124.27,292.13,1.78,21.860440960508377
12,125.61,144.16,0.26,24.339446334381538
13,145.52,96.45,0.93,23.026178068960878
14,148.58,98.21,0.63,24.22388581797729
15,159.48,41.84,0.82,23.259209505839955
16,181.08,92.05,0.0,22.290363445532428
17,161.76,37.69,0.0,24.508162580135533
18,165.64,44.72,0.0,23.316572794111607
19,167.68,171.29,0.72,24.961382948205216
20,137.82,33.51,0.26,26.373107784485196
21,119.36,80.01,0.71,24.342123280634897
22,107.46,72.98,2.93,22.0057253091496
23,105.1,95.88,2.07,22.60582282129193
24,98.39,88.06,2.47,23.241679191781483
