时段,能量价格,调频容量价格,调频里程价格,小时里程
1,76.95,28.97,3.93,25.459535285815857
2,69.86,27.83,0.65,26.340141668783126
3,61.51,24.23,0.66,25.682435012123147
4,52.76,19.07,1.74,25.695448132621326
5,52.09,13.93,2.14,24.391433947795775
6,57.78,30.69,1.93,27.662197529293564
7,60.0,28.42,0.39,28.916775998703987
8,69.68,54.67,2.27,28.264718037919078
9,80.16,66.37,3.2,27.508871041623554
10,93.6,55.46,2.49,24.16395425334805
11,98.59,92.25,1.76,22.81128065019226
12,123.59,183.3,2.87,25.144306835882073
13,132.71,90.02,2.35,23.159395815806686
14,146.05,136.18,1.29,24.79315442638134
15,170.57,84.87,0.67,24.027270476010813
16,208.79,105.27,0.65,23.42296553263383
17,181.66,74.89,0.24,25.162037798174527
18,191.13,79.31,0.88,24.52095650171072
19,183.61,126.46,0.8,25.491728040544817
20,141.13,146.97,1.54,27.389548627986077
21,133.77,105.73,1.46,24.388181935557544
22,125.75,103.59,2.58,22.373726458474188
23,92.4,55.86,1.78,23.036001866476983
24,75.82,45.32,2.41,23.72402345634702
